本週,上週,片名,上映日期,預告片,網友滿意度
1,2,潛艦獵殺令,2018-10-26,https://movies.yahoo.com.tw/movieinfo_main/%E6%BD%9B%E8%89%A6%E7%8D%B5%E6%AE%BA%E4%BB%A4-hunter-killer-8828,4.8
2,1,一個巨星的誕生,2018-10-09,https://movies.yahoo.com.tw/movieinfo_main/%E4%B8%80%E5%80%8B%E5%B7%A8%E6%98%9F%E7%9A%84%E8%AA%95%E7%94%9F-a-star-is-born-8511,4.5
3,,誰先愛上他的,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E8%AA%B0%E5%85%88%E6%84%9B%E4%B8%8A%E4%BB%96%E7%9A%84-dear-ex-8809,4.7
4,,波希米亞狂想曲,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E6%B3%A2%E5%B8%8C%E7%B1%B3%E4%BA%9E%E7%8B%82%E6%83%B3%E6%9B%B2-bohemian-rhapsody-8232,4.7
5,3,登月先鋒,2018-10-26,https://movies.yahoo.com.tw/movieinfo_main/%E7%99%BB%E6%9C%88%E5%85%88%E9%8B%92-first-man-8712,4.3
6,4,猛毒,2018-10-03,https://movies.yahoo.com.tw/movieinfo_main/%E7%8C%9B%E6%AF%92-venom-7803,4.4
7,,聖☆哥傳,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E8%81%96-%E5%93%A5%E5%82%B3-saint-young-men-season-one-8917,4.2
8,,生命中的美好意外,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E7%94%9F%E5%91%BD%E4%B8%AD%E7%9A%84%E7%BE%8E%E5%A5%BD%E6%84%8F%E5%A4%96-life-itself-8634,4
9,5,月光光新慌慌,2018-10-19,https://movies.yahoo.com.tw/movieinfo_main/%E6%9C%88%E5%85%89%E5%85%89%E6%96%B0%E6%85%8C%E6%85%8C-halloween-8725,3.8
10,6,屍落之城,2018-10-26,https://movies.yahoo.com.tw/movieinfo_main/%E5%B1%8D%E8%90%BD%E4%B9%8B%E5%9F%8E-rampant-8763,3.5
11,11,紅盒子,2018-10-19,https://movies.yahoo.com.tw/movieinfo_main/%E7%B4%85%E7%9B%92%E5%AD%90-father-8694,4.6
12,,我的嗝嗝老師,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E6%88%91%E7%9A%84%E5%97%9D%E5%97%9D%E8%80%81%E5%B8%AB-hichki-8813,4.5
13,9,狂徒,2018-10-26,https://movies.yahoo.com.tw/movieinfo_main/%E7%8B%82%E5%BE%92-the-scoundrels-8604,4.4
14,,嚇地獄,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E5%9A%87%E5%9C%B0%E7%8D%84-hell-fest-8704,3.4
15,,電影版怪物彈珠 空之彼方,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E9%9B%BB%E5%BD%B1%E7%89%88%E6%80%AA%E7%89%A9%E5%BD%88%E7%8F%A0-%E7%A9%BA%E4%B9%8B%E5%BD%BC%E6%96%B9-monster-strike-the-movie-journey-beyond-the-sky-8965,2.6
16,7,無雙,2018-10-05,https://movies.yahoo.com.tw/movieinfo_main/%E7%84%A1%E9%9B%99-project-gutenberg-8580,4.5
17,10,一屍到底,2018-09-21,https://movies.yahoo.com.tw/movieinfo_main/%E4%B8%80%E5%B1%8D%E5%88%B0%E5%BA%95-one-cut-of-the-dead-8749,4
18,,親密陌生人,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E8%A6%AA%E5%AF%86%E9%99%8C%E7%94%9F%E4%BA%BA-intimate-strangers-8853,3.7
19,,夜驚,2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E5%A4%9C%E9%A9%9A-mara-8875,3.3
20,,那些年，我們一起追的女孩(日),2018-11-02,https://movies.yahoo.com.tw/movieinfo_main/%E9%82%A3%E4%BA%9B%E5%B9%B4-%E6%88%91%E5%80%91%E4%B8%80%E8%B5%B7%E8%BF%BD%E7%9A%84%E5%A5%B3%E5%AD%A9-%E6%97%A5-youre-the-apple-of-my-eye-8616,4
